ax,ay,az,wx,wy,wz,q_w,q_x,q_y,q_z,psi,theta,phi
-0.81,0.03,6.89,0.12,-0.13,-0.05,0.99996,0.00327,0.00835,-0.00065,-0.0713625834145061,0.9570893183635234,0.37413200487200493
-0.82,0.04,6.88,0.12,-0.13,-0.05,0.99996,0.00333,0.00836,-0.00068,-0.07473941769138694,0.958251267190389,0.38097873646197417
-0.83,0.05,6.85,0.12,-0.13,-0.05,0.99996,0.00339,0.00837,-0.00071,-0.07811611223742249,0.9594136289988474,0.38782539774602337
-0.81,0.06,6.85,0.12,-0.13,-0.05,0.99996,0.00345,0.00838,-0.00074,-0.08149266697661957,0.9605764037897974,0.3946719886438793
-0.8,0.05,6.84,0.12,-0.13,-0.05,0.99996,0.00351,0.00839,-0.00077,-0.08486908183299526,0.9617395915641392,0.40151850907527803
-0.78,0.05,6.83,0.12,-0.13,-0.05,0.99996,0.00357,0.0084,-0.0008,-0.08824535673057689,0.962903192322775,0.40836495895996533
-0.79,0.04,6.84,0.13,-0.14,-0.05,0.99996,0.00363,0.00841,-0.00083,-0.09162149159340206,0.9640672060666066,0.41521133821769673
-0.78,0.04,6.85,0.12,-0.14,-0.05,0.99996,0.00369,0.00842,-0.00086,-0.09499748634551865,0.9652316327965379,0.4220576467682371
-0.79,0.04,6.85,0.12,-0.14,-0.04,0.99996,0.00375,0.00843,-0.00088,-0.09722731486085648,0.9663921747186898,0.4289135532388445
-0.79,0.03,6.87,0.12,-0.14,-0.04,0.99996,0.00381,0.00844,-0.0009,-0.0994570038522937,0.9675529920963273,0.43576941241723743
-0.78,0.03,6.87,0.11,-0.14,-0.03,0.99996,0.00386,0.00845,-0.00092,-0.10169624541954278,0.9687130305371684,0.44147919886818326
-0.8,0.03,6.87,0.1,-0.14,-0.03,0.99996,0.00391,0.00846,-0.00094,-0.10393537085525202,0.9698732985910999,0.44718893857018166
-0.78,0.05,6.87,0.1,-0.14,-0.03,0.99996,0.00396,0.00847,-0.00096,-0.10617438012582088,0.971033796258833,0.45289863148534537
-0.78,0.06,6.89,0.1,-0.14,-0.03,0.99996,0.00401,0.00848,-0.00098,-0.10841327319765383,0.9721945235410806,0.45860827757579165
-0.78,0.07,6.89,0.09,-0.14,-0.03,0.99996,0.00406,0.00849,-0.001,-0.1106520500371603,0.9733554804385561,0.46431787680364184
-0.79,0.07,6.88,0.09,-0.13,-0.02,0.99995,0.00411,0.0085,-0.00101,-0.11174576426389789,0.9745022148660394,0.47004187132370534
-0.78,0.06,6.88,0.09,-0.13,-0.02,0.99995,0.00416,0.00851,-0.00102,-0.1128382956119373,0.9756587945261365,0.47576120803120925
-0.76,0.05,6.88,0.09,-0.13,-0.02,0.99995,0.0042,0.00852,-0.00103,-0.11394048552586046,0.9768143087274391,0.48033448633479725
-0.77,0.06,6.85,0.08,-0.13,-0.02,0.99995,0.00424,0.00853,-0.00104,-0.11504258302951949,0.9779699150126824,0.48490774157829597
-0.75,0.06,6.86,0.08,-0.13,-0.02,0.99995,0.00428,0.00854,-0.00105,-0.11614458811290164,0.9791256133824315,0.4894809737474007
-0.75,0.05,6.87,0.08,-0.13,-0.02,0.99995,0.00432,0.00855,-0.00106,-0.11724650076599608,0.9802814038372516,0.4940541828278081
-0.74,0.06,6.87,0.08,-0.12,-0.02,0.99995,0.00436,0.00857,-0.00107,-0.11834334430688674,0.9825833129942154,0.49862622796069905
-0.75,0.06,6.89,0.08,-0.12,-0.02,0.99995,0.0044,0.00859,-0.00108,-0.11944000416020124,0.984885315424119,0.5031982289260235
-0.75,0.07,6.91,0.07,-0.12,-0.02,0.99995,0.00444,0.00861,-0.00109,-0.1205364803179329,0.9871874111308705,0.5077701857177832
-0.74,0.07,6.9,0.07,-0.11,-0.01,0.99995,0.00448,0.00863,-0.0011,-0.1216327727720782,0.9894896001183805,0.5123420983299829
-0.75,0.05,6.91,0.07,-0.11,-0.01,0.99995,0.00451,0.00865,-0.00111,-0.12273880626679647,0.9917906102336667,0.515767932595833
-0.74,0.05,6.89,0.07,-0.1,-0.01,0.99995,0.00454,0.00868,-0.00112,-0.1238395205033582,0.9952377216970771,0.5191925291661414
-0.75,0.03,6.89,0.07,-0.1,-0.01,0.99995,0.00457,0.00871,-0.00113,-0.12494002897346164,0.9986849055286379,0.522617060309937
-0.75,0.03,6.9,0.07,-0.1,-0.01,0.99995,0.0046,0.00874,-0.00114,-0.1260403316768394,1.002132161741053,0.5260415260377533
-0.75,0.04,6.89,0.07,-0.1,-0.01,0.99995,0.00463,0.00877,-0.00115,-0.12714042861322483,1.005579490347031,0.5294659263601261
-0.73,0.04,6.87,0.07,-0.1,-0.01,0.99995,0.00466,0.0088,-0.00116,-0.12824031978235198,1.0090268913592793,0.5328902612875919
-0.73,0.04,6.9,0.07,-0.1,-0.01,0.99995,0.00469,0.00883,-0.00117,-0.12934000518395541,1.0124743647905083,0.5363145308306889
-0.72,0.04,6.91,0.07,-0.1,-0.01,0.99995,0.00472,0.00886,-0.00118,-0.13043948481777046,1.0159219106534307,0.5397387349999574
-0.72,0.04,6.9,0.07,-0.09,-0.01,0.99995,0.00475,0.00889,-0.00119,-0.13153875868353307,1.0193695289607592,0.5431628738059383
-0.73,0.02,6.9,0.07,-0.08,-0.01,0.99995,0.00478,0.00893,-0.0012,-0.13263237214592466,1.0239632608280187,0.5465856695884517
-0.72,0.03,6.88,0.07,-0.07,-0.01,0.99995,0.00481,0.00897,-0.00121,-0.13372571164990846,1.0285570680441938,0.5500083791010913
-0.73,0.04,6.88,0.07,-0.07,-0.01,0.99995,0.00484,0.00901,-0.00122,-0.13481877719963825,1.0331509506391394,0.5534310023687729
-0.72,0.04,6.88,0.07,-0.06,-0.01,0.99995,0.00487,0.00906,-0.00123,-0.13590601194682117,1.0388909551182248,0.5568522306458319
-0.71,0.04,6.89,0.06,-0.05,-0.0,0.99995,0.0049,0.00911,-0.00123,-0.13584686550585864,1.0446254228718221,0.5602838063343173
-0.72,0.05,6.9,0.06,-0.03,0.0,0.99995,0.00493,0.00917,-0.00123,-0.13578175024850989,1.051505952167215,0.5637140837977453
-0.71,0.04,6.9,0.06,-0.02,0.01,0.99994,0.00496,0.00924,-0.00123,-0.13571186828536877,1.0595219605904826,0.5671487266145582
-0.71,0.04,6.91,0.06,-0.01,0.01,0.99994,0.00499,0.00931,-0.00123,-0.135640199651756,1.0675484996250406,0.5705777574701542
-0.7,0.04,6.93,0.06,-0.0,0.01,0.99994,0.00502,0.00939,-0.00123,-0.13556232251378023,1.0767211085913864,0.5740054999499807
-0.72,0.04,6.92,0.05,0.01,0.02,0.99994,0.00504,0.00947,-0.00122,-0.1343487072932208,1.0858865589755893,0.5762980698222915
-0.71,0.04,6.91,0.05,0.03,0.02,0.99994,0.00506,0.00956,-0.00121,-0.1331289497612759,1.0961980476685442,0.578589560773497
-0.71,0.03,6.93,0.05,0.05,0.02,0.99994,0.00508,0.00966,-0.0012,-0.1319029810905989,1.1076555867944264,0.5808800117181577
