q_w_int,q_x_int,q_y_int,q_z_int,q_w_fixed,q_x_fixed,q_y_fixed,q_z_fixed
16098,62986,1153,64727,0.9825439453125,-0.1556396484375,0.07037353515625,-0.04937744140625
16093,62963,1199,64760,0.98223876953125,-0.15704345703125,0.07318115234375,-0.04736328125
16089,62940,1239,64793,0.98199462890625,-0.158447265625,0.07562255859375,-0.04534912109375
16083,62907,1278,64825,0.98162841796875,-0.16046142578125,0.0780029296875,-0.04339599609375
16075,62862,1313,64856,0.98114013671875,-0.1632080078125,0.08013916015625,-0.04150390625
16067,62817,1345,64885,0.98065185546875,-0.16595458984375,0.08209228515625,-0.03973388671875
16058,62768,1380,64911,0.9801025390625,-0.1689453125,0.084228515625,-0.03814697265625
16047,62717,1421,64934,0.97943115234375,-0.17205810546875,0.08673095703125,-0.0367431640625
16037,62673,1468,64954,0.97882080078125,-0.17474365234375,0.089599609375,-0.0355224609375
16027,62636,1522,64972,0.97821044921875,-0.177001953125,0.0928955078125,-0.034423828125
16017,62604,1582,64987,0.97760009765625,-0.178955078125,0.0965576171875,-0.03350830078125
16007,62579,1649,64999,0.97698974609375,-0.18048095703125,0.10064697265625,-0.03277587890625
15997,62561,1721,65007,0.97637939453125,-0.18157958984375,0.10504150390625,-0.03228759765625
15988,62554,1801,65012,0.975830078125,-0.1820068359375,0.10992431640625,-0.031982421875
15980,62557,1886,65016,0.975341796875,-0.18182373046875,0.1151123046875,-0.03173828125
15973,62573,1974,65019,0.97491455078125,-0.18084716796875,0.1204833984375,-0.03155517578125
15968,62601,2064,65022,0.974609375,-0.17913818359375,0.1259765625,-0.0313720703125
15964,62643,2154,65025,0.974365234375,-0.17657470703125,0.1314697265625,-0.03118896484375
15961,62691,2242,65028,0.97418212890625,-0.17364501953125,0.1368408203125,-0.031005859375
15957,62741,2326,65031,0.97393798828125,-0.17059326171875,0.1419677734375,-0.03082275390625
15954,62788,2405,65034,0.9737548828125,-0.167724609375,0.14678955078125,-0.0306396484375
15949,62824,2474,65039,0.97344970703125,-0.16552734375,0.1510009765625,-0.03033447265625
15943,62848,2535,65045,0.97308349609375,-0.1640625,0.15472412109375,-0.02996826171875
15936,62858,2586,65054,0.97265625,-0.1634521484375,0.1578369140625,-0.0294189453125
15929,62854,2625,65065,0.97222900390625,-0.1636962890625,0.16021728515625,-0.02874755859375
15921,62837,2653,65079,0.97174072265625,-0.16473388671875,0.16192626953125,-0.02789306640625
15913,62806,2667,65095,0.97125244140625,-0.1666259765625,0.16278076171875,-0.02691650390625
15905,62767,2671,65112,0.97076416015625,-0.16900634765625,0.16302490234375,-0.02587890625
15898,62722,2667,65129,0.9703369140625,-0.1717529296875,0.16278076171875,-0.02484130859375
15892,62673,2655,65145,0.969970703125,-0.17474365234375,0.16204833984375,-0.02386474609375
15887,62622,2634,65159,0.96966552734375,-0.1778564453125,0.1607666015625,-0.02301025390625
15883,62571,2608,65172,0.96942138671875,-0.18096923828125,0.1591796875,-0.022216796875
15879,62521,2578,65184,0.96917724609375,-0.18402099609375,0.1573486328125,-0.021484375
15875,62472,2546,65195,0.96893310546875,-0.18701171875,0.1553955078125,-0.02081298828125
15872,62425,2513,65206,0.96875,-0.18988037109375,0.15338134765625,-0.0201416015625
15869,62381,2481,65218,0.96856689453125,-0.19256591796875,0.15142822265625,-0.0194091796875
15866,62341,2451,65230,0.9683837890625,-0.19500732421875,0.14959716796875,-0.0186767578125
15863,62306,2426,65243,0.96820068359375,-0.1971435546875,0.1480712890625,-0.01788330078125
15861,62276,2406,65257,0.96807861328125,-0.198974609375,0.1468505859375,-0.01702880859375
15859,62252,2392,65272,0.96795654296875,-0.200439453125,0.14599609375,-0.01611328125
15857,62234,2384,65288,0.96783447265625,-0.2015380859375,0.1455078125,-0.01513671875
15855,62225,2385,65305,0.96771240234375,-0.20208740234375,0.14556884765625,-0.01409912109375
