a_x_int,a_y_int,a_z_int,w_x_int,w_y_int,w_z_int,q_w_int,q_x_int,q_y_int,q_z_int,a_x,a_y,a_z,w_x,w_y,w_z,q_w,q_x,q_y,q_z,psi,theta,phi,q_w_ref,q_x_ref,q_y_ref,q_z_ref,psi_ref,theta_ref,phi_ref,psi_err,theta_err,phi_err,q_w_err,q_x_err,q_y_err,q_z_err
-9,-4,597,53,26,4,16392,9,90,24,-0.140625,-0.0625,9.328125,0.20703125,0.1015625,0.015625,1.00048828125,0.00054931640625,0.0054931640625,0.00146484375,0.16812714311957508,0.6296980613254867,0.0638392587099742,0.999990046024,-0.000822444388,0.005646684673,0.001298275427,0.14824524837378628,0.6471920779657422,-0.09340884220939648,0.019881894745788803,0.017494016640255516,0.1572481009193707,0.00049823522600001,0.00137176079425,0.00015352061050000025,0.00016656832299999998
-8,-6,600,59,24,4,16392,11,94,24,-0.125,-0.09375,9.375,0.23046875,0.09375,0.015625,1.00048828125,0.00067138671875,0.0057373046875,0.00146484375,0.16822311044264157,0.6576694513951085,0.07786220066626869,0.99998998642,-0.00069715397,0.005841109436,0.001318445196,0.15062254051336457,0.6694556944226288,-0.07900879877278591,0.017600569929277,0.011786243027520293,0.15687099943905458,0.0004982948299999679,0.0013685406887499999,0.0001038047484999997,0.000146398554
-5,-10,600,37,35,-17,16392,11,99,22,-0.078125,-0.15625,9.375,0.14453125,0.13671875,-0.06640625,1.00048828125,0.00067138671875,0.00604248046875,0.0013427734375,0.15426529493087893,0.6926689174732024,0.07782924118385473,0.999988913536,-0.000702609133,0.005997560453,0.001216100063,0.1388783148991627,0.6873765838572382,-0.07968089753972642,0.015386980031716235,0.005292333615964151,0.15751013872358116,0.0004993677140000541,0.00137399585175,4.492001574999977e-05,0.0001266733744999999
-3,-7,603,34,44,0,16392,11,101,22,-0.046875,-0.109375,9.421875,0.1328125,0.171875,0.0,1.00048828125,0.00067138671875,0.00616455078125,0.0013427734375,0.15427490723396986,0.7066650186574926,0.0778481223926728,0.999986886978,-0.000690397399,0.006126970518,0.001213513198,0.13858052286708267,0.70220348145771,-0.07826553437613071,0.015694384366887193,0.004461537199782595,0.1561136567688035,0.000501394272000022,0.0013617841177499999,3.7580263249999656e-05,0.0001292602395000001
3,-10,604,12,39,8,16392,9,103,23,0.046875,-0.15625,9.4375,0.046875,0.15234375,0.03125,1.00048828125,0.00054931640625,0.00628662109375,0.00140380859375,0.1611876521175882,0.7206761042327746,0.06392900154804076,0.999984562397,-0.000769835373,0.006185382139,0.001258762786,0.1437054858531021,0.7089107715877546,-0.087328955162611,0.017482166264486093,0.011765332645019999,0.15125795671065176,0.0005037188530000458,0.00131915177925,0.00010123895474999957,0.00014504580775000003
4,-6,605,19,17,7,16392,8,102,24,0.0625,-0.09375,9.453125,0.07421875,0.06640625,0.02734375,1.00048828125,0.00048828125,0.0062255859375,0.00146484375,0.1681311543493844,0.7136844310083057,0.05697168003604066,0.999982774258,-0.000749792205,0.006077686325,0.001298285788,0.14825825559761094,0.6965682618634639,-0.08502009616529566,0.01987289875177345,0.01711616914484182,0.14199177620133632,0.0005055069920000266,0.001238073455,0.00014789961250000032,0.00016655796199999996
6,-6,608,5,6,-24,16392,7,99,22,0.09375,-0.09375,9.5,0.01953125,0.0234375,-0.09375,1.00048828125,0.00042724609375,0.00604248046875,0.0013427734375,0.1540964488405791,0.6927064862591381,0.049865479744898,0.99998152256,-0.000801777933,0.005900781602,0.00115680974,0.13202537031700906,0.6762892569173082,-0.09109947278978846,0.022071078523570042,0.016417229341829875,0.14096495253468647,0.0005067586900000531,0.00122902402675,0.0001416988667499999,0.00018596369749999996
0,-2,616,27,-6,-16,16392,10,95,21,0.0,-0.03125,9.625,0.10546875,-0.0234375,-0.0625,1.00048828125,0.0006103515625,0.00579833984375,0.00128173828125,0.1472146601793063,0.6646904995707138,0.07076006187449323,0.999980688095,-0.000675343268,0.005641177297,0.001061790157,0.12124171817300856,0.6465147073065698,-0.07670607538621134,0.025972942006297725,0.01817579226414401,0.14746613726070457,0.0005075931550000412,0.0012856948305,0.00015716254675000006,0.00021994812425000002
-2,-3,617,23,-3,-24,16392,12,91,19,-0.03125,-0.046875,9.640625,0.08984375,-0.01171875,-0.09375,1.00048828125,0.000732421875,0.00555419921875,0.00115966796875,0.13329298601878437,0.6366908945121443,0.0846282487160909,0.999979913235,-0.000632111216,0.005415883847,0.000919766026,0.10501023636769721,0.6206808699322277,-0.07186725990149567,0.028282749651087152,0.016010024579916626,0.15649550861758657,0.0005083680149999825,0.0013645330909999999,0.00013831537174999967,0.00023990194274999997
-3,-5,616,15,14,7,16392,10,90,20,-0.046875,-0.078125,9.625,0.05859375,0.0546875,0.02734375,1.00048828125,0.0006103515625,0.0054931640625,0.001220703125,0.14020193202269612,0.6297048919271803,0.07067666508584473,0.999978780746,-0.000715076341,0.005349153187,0.0009592321,0.10948694132631592,0.6130450946714361,-0.08135768825376796,0.0307149906963802,0.01665979725574418,0.15203435333961268,0.0005095005040000045,0.0013254279035,0.00014401087549999973,0.000261471025
-6,-6,611,12,8,5,16392,8,92,20,-0.09375,-0.09375,9.546875,0.046875,0.03125,0.01953125,1.00048828125,0.00048828125,0.005615234375,0.001220703125,0.14013219774945238,0.6437178902843683,0.056712004507427825,0.999978601933,-0.00087011815,0.005372274201,0.00098689564,0.11255977562405824,0.6157143553305704,-0.09910549305651575,0.02757242212539414,0.028003534953797926,0.15581749756394359,0.0005096793169999669,0.0013583993999999999,0.0002429601739999997,0.00023380748499999995
